Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,"On November 7, all 100 seats in the Virginia House of Delegates and all 40 seats in the Virginia Senate will be up for election. Do you plan to vote in the November general election?",How do you plan to vote in the general election?,"If the November 7 general election for the Virginia General Assembly were held today, which Party’s candidate would you most likely support?",Do you approve or disapprove of Governor Glenn Youngkin’s job performance?,Do you approve or disapprove of President Joe Biden’s job performance?,"Microschools, sometimes referred to as learning pods, is the reimagining of the one-room schoolhouse, where class sizes are usually fewer than 15 students of varying ages, and the schedule and curriculum are tailored to fit each individual class. Would you support or oppose micro-schools in your area?","School choice allows parents to use tax dollars designated for their child’s education to send their child to the public, private, or micro-school that they believe is best for their child. Do you support or oppose school choice?","Do you believe parents should have access to as many quality school options, such as public, private, charter, and hybrid-school models, for their child?","Recently, schools have been accused of excluding parents from their child’s education. Do you agree that parents should have a significant influence on their children’s education, or should they defer to teachers and administrators?","According to a 2014 study, a school choice program centered on tax credits found that students who didn’t utilize the choice options and remained in public schools suffered no adverse effects, and evidence suggests these students actually benefited from this program. Does knowing this make you more or less likely to support school choice?","Property taxes determine the bulk of local school district funding, meaning that areas with lower property values receive less local funding for their schools than more affluent districts. Knowing that a child’s residence determines the public school they are assigned to, are you more or less likely to support school choice?","According to a study, school choice improves residential home values. Does knowing this make you more or less likely to support school choice?",Statewide studies have shown that increased school choice options have positively affected test scores in reading and math. Does knowing this make you more or less likely to support school choice?,Are you more or less likely to support your state delegate or state senator if they voted for school choice?,"Education Savings Accounts are taxpayer funds allocated for a student’s education and can be used for any education-related expenses – including online homeschool programs, private school tuition, tutoring, and school supplies. Do you support or oppose Education Savings Accounts?",School voucher programs assist low-income families by allowing for public education funds to pay for a child’s tuition at a school of their choice. Do you support school voucher programs?,"Intra-district school choice allows families to choose any school in their district, whereas inter-district school choice allows families to choose from any school in a defined region or statewide. Would you support either of these options?","Do you personally identify with this statement: “I used to have doubts about school choice, but I am more open to the idea of creating an option for kids who are struggling.”",Do you think Virginia has enough school choice options for families working to educate their children?,Do you agree or disagree with the following statement: “School choice is a partisan issue.”,"Virginia Republicans have proposed a plan that would allow for abortions until 15 weeks of pregnancy. After 15 weeks, abortions would still be allowed in cases of rape, incest, and the life of the mother. Do you support this plan?",Do you support building a casino in Richmond?,What ideology is most in line with your views?,What is the highest level of education you have completed so far?,What is your age?,Are you male or female?,What is your Race?,What Party do you most align with?,Completion Code
11,10/7/23 13:14,10/7/23 13:14,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=svza,1696702010_65219e3ab38fe1.37302856,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,108.28.73.220,-77.0911026,38.88650131,United States,Arlington,VA,22201,Yes,Vote early in person,Democrat,Disapprove,Approve,Support,Oppose,Unsure,Parents should defer to teachers and administrators,Less likely,Makes no difference,Makes no difference,Makes no difference,Less likely,Unsure,Yes,"No, I oppose both school choice options",Yes,Unsure,Disagree,Oppose,Yes,Moderate,Graduate degree or higher,65 or older,Male,Hispanic,Democrat,svza
12,10/7/23 13:14,10/7/23 13:14,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=jtbh,1696702300_65219f5c1966a8.01919902,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",,172.226.196.9,-97.8219986,37.75099945,United States,,,,Yes,Vote early by mail,Democrat,Disapprove,Approve,Unsure,Oppose,Yes,Parents should defer to teachers and administrators,Makes no difference,More likely,Makes no difference,Less likely,Makes no difference,Unsure,Yes,Unsure,No,"Yes, there are enough choices already",Disagree,Oppose,No,Moderate,College,35 – 44,Male,White,Democrat,jtbh
13,10/7/23 13:18,10/7/23 13:18,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=shui,1696702410_65219fca277938.60248776,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,71.63.42.207,-78.86930084,38.44749832,United States,Harrisonburg,VA,22801,Yes,Vote early in person,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,Less likely,More likely,More likely,More likely,More likely,Support,No,"Yes, I support both",Yes,"Yes, there are enough choices already",Agree,Support,Yes,Conservative,High School,65 or older,Male,White,Republican,shui
14,10/7/23 13:19,10/7/23 13:19,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=rlyj,1696702575_6521a06fecdb80.72875505,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,67.172.204.208,-78.86930084,38.44749832,United States,Harrisonburg,VA,22801,Yes,Vote early in person,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,Makes no difference,Makes no difference,Makes no difference,More likely,More likely,Support,Yes,"Yes, I just support intra-district school choice",No,"No, families should have more choices",Unsure,Support,No,Conservative,College,55 – 64,Male,White,Republican,rlyj
15,10/7/23 13:19,10/7/23 13:19,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=tsho,1696702503_6521a0271cac32.74903780,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,216.24.86.252,-79.87860107,37.40190125,United States,Troutville,VA,24175,Yes,Vote on Election Day,Republican,Approve,Disapprove,Unsure,Support,,Parents should have a significant influence,Makes no difference,More likely,Makes no difference,Makes no difference,More likely,Support,Yes,"Yes, I support both",Yes,Unsure,Unsure,Oppose,No,Moderate,Graduate degree or higher,65 or older,Female,White,Republican,tsho
16,10/7/23 13:20,10/7/23 13:20,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=brwk,1696702671_6521a0cfcbc252.01893703,"Mozilla/5.0 (Linux; Android 11; SM-A037U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.62 Mobile Safari/537.36",,172.58.240.147,-73.90809631,40.81420135,United States,Bronx,NY,10455,Yes,Vote on Election Day,Democrat,,,Support,Oppose,Unsure,Unsure,Makes no difference,Makes no difference,More likely,More likely,Makes no difference,Support,Unsure,Unsure,Yes,Unsure,Agree,Unsure,Yes,Moderate,Graduate degree or higher,65 or older,Male,White,Independent,brwk
17,10/7/23 13:20,10/7/23 13:20,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=gkva,1696702228_65219f141c8a32.63503347,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G550T1 Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36",,172.59.113.93,-97.8219986,37.75099945,United States,,,,Unsure,Undecided,Democrat,Approve,Approve,Unsure,Unsure,Yes,Unsure,Makes no difference,More likely,Makes no difference,More likely,Makes no difference,Unsure,Unsure,"No, I oppose both school choice options",Yes,"No, families should have more choices",Unsure,Support,No,Liberal,High School,65 or older,Female,African American,Democrat,gkva
18,10/7/23 13:20,10/7/23 13:20,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=sqpn,1696702522_6521a03ab0d7a6.50401224,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",,172.59.113.75,-97.8219986,37.75099945,United States,,,,I already voted,I already voted,Democrat,Disapprove,Approve,Unsure,Support,Yes,Unsure,Makes no difference,Less likely,Makes no difference,More likely,More likely,Support,Yes,"Yes, I just support intra-district school choice",Yes,Unsure,Agree,Oppose,No,Moderate,Graduate degree or higher,65 or older,Male,White,Democrat,sqpn
19,10/7/23 13:21,10/7/23 13:21,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=imwa,1696702548_6521a054708ee3.85016009,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,108.18.153.246,-77.39830017,39.0257988,United States,Sterling,VA,20164,Yes,Vote on Election Day,Republican,Approve,Disapprove,Unsure,Unsure,Unsure,Parents should have a significant influence,More likely,Makes no difference,More likely,More likely,Makes no difference,Support,Unsure,"Yes, I just support intra-district school choice",No,"Yes, there are enough choices already",Disagree,Oppose,No,Moderate,College,45 – 54,Male,White,Republican,imwa
20,10/7/23 13:21,10/7/23 13:21,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=famz,1696702715_6521a0fb3ac781.36500504,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,173.53.68.16,-77.4838028,37.56349945,United States,Richmond,VA,23221,Yes,Vote early by mail,Democrat,Disapprove,Approve,Oppose,Oppose,No,Parents should defer to teachers and administrators,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Less likely,Oppose,No,"No, I oppose both school choice options",No,"Yes, there are enough choices already",Agree,Oppose,Yes,Moderate,Graduate degree or higher,35 – 44,Female,White,Democrat,famz
21,10/8/23 12:46,10/8/23 12:46,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=pdwp,1696702759_6521a1273a3784.30414507,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1",,104.28.76.152,-97.8219986,37.75099945,United States,,,,Yes,Vote on Election Day,Republican,Approve,Disapprove,Unsure,Unsure,Unsure,Unsure,Makes no difference,More likely,More likely,More likely,More likely,Unsure,Yes,Unsure,No,"Yes, there are enough choices already",Disagree,Support,Yes,Conservative,Graduate degree or higher,18 – 34,Male,White,Republican,pdwp
22,10/7/23 13:21,10/7/23 13:21,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=skvt,1696702612_6521a0946c5d98.69183167,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,47.134.52.52,-76.58979797,36.73279953,United States,Suffolk,VA,23434,I already voted,I already voted,,Disapprove,,Support,Unsure,Yes,Parents should defer to teachers and administrators,Makes no difference,Makes no difference,Makes no difference,More likely,More likely,Support,Yes,"Yes, I just support inter-district school choice",No,"No, families should have more choices",Unsure,Oppose,Unsure,,Graduate degree or higher,55 – 64,Female,,Other,skvt
23,10/7/23 13:21,10/7/23 13:21,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=xunb,1696702766_6521a12e260655.21105511,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,172.56.3.250,-76.2193985,36.85309982,United States,Norfolk,VA,23502,Yes,Vote on Election Day,Democrat,Disapprove,Approve,Unsure,Oppose,No,Parents should defer to teachers and administrators,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Less likely,Support,No,"No, I oppose both school choice options",No,"Yes, there are enough choices already",Agree,Oppose,No,Liberal,College,45 – 54,Male,White,Democrat,xunb
24,10/7/23 13:21,10/7/23 13:21,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=zghq,1696702603_6521a08b431146.36906234,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,71.176.226.52,-77.59059906,37.47280121,United States,Richmond,VA,23236,Yes,Vote early in person,Democrat,Disapprove,Approve,Oppose,Support,Yes,Parents should defer to teachers and administrators,More likely,Makes no difference,Less likely,More likely,Makes no difference,Support,Yes,"Yes, I support both",Yes,Unsure,Disagree,Unsure,Yes,Moderate,Graduate degree or higher,55 – 64,Male,White,Democrat,zghq
25,10/7/23 13:21,10/7/23 13:21,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=jkpb,1696702768_6521a130b3d4c4.11116280,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,174.206.48.160,-79.28150177,37.33710098,United States,Forest,VA,24551,No,Undecided,Democrat,Disapprove,Approve,Oppose,Support,Yes,Parents should defer to teachers and administrators,Makes no difference,,,,,,,,,,,Oppose,No,Liberal,,,Male,White,Democrat,jkpb
26,10/7/23 13:22,10/7/23 13:22,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=pkpm,1696702715_6521a0fb63c6b5.94864482,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",,52.119.57.68,-79.94039917,37.26810074,United States,Roanoke,VA,24011,Yes,Vote on Election Day,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,Makes no difference,Makes no difference,Makes no difference,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Agree,Oppose,No,Conservative,College,18 – 34,Male,White,Republican,pkpm
27,10/7/23 13:24,10/7/23 13:24,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=onmi,1696702373_65219fa54636b5.74274278,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,72.84.216.205,-77.48069763,37.43650055,United States,Richmond,VA,23234,Yes,Vote on Election Day,Democrat,Disapprove,Approve,Oppose,Support,Unsure,Parents should have a significant influence,Makes no difference,Makes no difference,Makes no difference,More likely,Makes no difference,Unsure,Unsure,"No, I oppose both school choice options",No,"Yes, there are enough choices already",Disagree,Unsure,Yes,Moderate,College,65 or older,Male,African American,Democrat,onmi
28,10/7/23 13:24,10/7/23 13:24,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=cnwp,1696702806_6521a15640fd39.86145623,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,73.147.189.184,-77.50340271,37.51470184,United States,Richmond,VA,23225,Yes,Vote early in person,Democrat,Disapprove,Approve,Unsure,Oppose,No,Unsure,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Less likely,Oppose,Unsure,"No, I oppose both school choice options",No,"Yes, there are enough choices already",Disagree,Oppose,Yes,Moderate,Graduate degree or higher,65 or older,Male,African American,Democrat,cnwp
29,10/7/23 13:25,10/7/23 13:25,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=npkt,1696702815_6521a15fe89648.59745783,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,198.54.130.153,-78.62930298,35.770401,United States,Raleigh,NC,27697,I already voted,I already voted,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,More likely,More likely,More likely,More likely,More likely,Unsure,Yes,"Yes, I support both",Yes,Unsure,Unsure,Unsure,No,Conservative,High School,65 or older,Female,White,Republican,npkt
30,10/7/23 13:26,10/7/23 13:26,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=uwnu,1696702953_6521a1e962c156.61471739,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,104.28.76.153,-97.8219986,37.75099945,United States,,,,Yes,Vote on Election Day,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,Makes no difference,More likely,Makes no difference,More likely,More likely,Support,Yes,"Yes, I support both",No,"No, families should have more choices",Disagree,Support,No,Moderate,Graduate degree or higher,55 – 64,Female,Other,Other,uwnu
31,10/8/23 11:13,10/8/23 11:13,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=qhfo,1696702903_6521a1b7a3bf21.79127868,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",,68.106.182.44,-76.40670013,37.04499817,United States,Hampton,VA,23666,Yes,Vote on Election Day,Democrat,Approve,Approve,Unsure,Unsure,Yes,Parents should defer to teachers and administrators,Makes no difference,More likely,Makes no difference,More likely,Makes no difference,Support,Yes,"Yes, I just support intra-district school choice",Yes,Unsure,Agree,Support,No,Moderate,Graduate degree or higher,55 – 64,Male,White,Independent,qhfo
32,10/7/23 13:27,10/7/23 13:27,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=lfxe,1696702889_6521a1a906b898.77283822,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,73.40.35.186,-78.91880035,36.69630051,United States,South Boston,VA,24592,Unsure,Undecided,Republican,,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,Makes no difference,Less likely,More likely,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Unsure,Support,Yes,Moderate,High School,18 – 34,Female,African American,Independent,lfxe
33,10/7/23 13:27,10/7/23 13:27,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=ethl,1696702816_6521a1600af4a1.12263957,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,174.179.24.213,-97.8219986,37.75099945,United States,,,,Yes,Vote early in person,Democrat,Disapprove,Approve,Unsure,Oppose,Yes,Parents should have a significant influence,Makes no difference,More likely,Makes no difference,More likely,Less likely,Oppose,No,"Yes, I support both",Yes,Unsure,Agree,Oppose,No,Moderate,Graduate degree or higher,65 or older,Male,Hispanic,Democrat,ethl
